PlotID_sel,HT,EPH_quantile_0.99_DSM,EPH_soil_0.5_quantile_0.99_PC
2104_3035,44,27.36279678,28.57333333
2104_3036,36,23.95722298,23.52666667
2104_4001,45,25.68144817,28.19
2104_4002,52,36.67762884,38.7
2104_4003,42,26.00010897,28.43333333
2104_4004,50,26.51579666,29.53333333
2104_4005,48,30.23841364,30.7
2104_4006,40,26.69679271,28.59666667
2104_4007,49,28.66120585,31.21666667
2104_4008,39,20.37356672,22.2
2104_4009,44,21.47834953,21.56666667
2104_4010,38,22.62595579,22.86666667
2104_4011,50,27.14648471,29.45
2104_4012,43,25.40239924,27.32
2104_4013,46,31.21948141,33.09333333
2104_4014,45,25.28947938,26.3
2104_4015,42,25.13055355,25.93666667
2104_4016,52,29.1430026,30.5
2104_4017,54,29.28686274,32.93333333
2104_4018,43,26.81542612,27.53333333
2104_4019,51,31.01149172,32.3
2104_4020,43,27.47693125,29.82666667
2104_4021,44,24.39928273,25.63666667
2104_4022,39,23.20892784,23.46666667
2104_4023,65,33.32683076,35.83333333
2104_4024,41,24.56214588,26.9
2104_4025,44,37.07638037,38
2104_4026,47,29.26695,30.84
2104_4027,43,27.73091588,29.3
2104_4028,45,31.9811505,33.18666667
2104_4029,45,34.53731295,36.43333333
2104_4030,45,33.87330712,35.1
2104_4031,46,26.51090104,26.26666667
2104_4032,46,28.63276632,30.1
2104_4033,44,22.01338014,21.91
2104_4034,42,25.21997511,24.26666667
2104_4035,57,31.0824982,33.15333333
2104_4036,43,24.69719094,24.8
2105_1001,39,20.45520929,19.86666667
2105_1002,44,22.45575738,23.09333333
2105_1003,40,21.35758281,21.34666667
2105_1004,49,20.39436353,22.44666667
2105_1005,43,22.56201979,23.53666667
2105_1006,41,16.64243034,12.86666667
2105_1007,33,15.85719523,13.7
2105_1008,46,18.40905644,17.13333333
2105_1009,37,13.63142499,6.933333333
2105_1010,40,15.72388726,12.66333333
2105_1011,36,17.15063597,14.63
2105_1012,42,15.96884698,12.26333333
2105_1013,37,17.63542485,12.96
2105_1014,43,23.40260199,17.81333333
2105_1015,42,22.65367429,24.01333333
2105_1016,51,26.01403675,27.3
2105_1017,48,27.87034826,29.76666667
2105_1018,51,32.53623591,35.94333333
2105_1019,46,24.84996201,26.53333333
2105_1020,46,29.50795573,32.48666667
2105_1021,55,30.84712002,33.49333333
2105_1022,58,27.47552172,29.36666667
2105_1023,48,23.99611158,26.76666667
2105_1024,49,24.87645842,28.5
2105_1025,41,29.21191285,31.8
2105_1026,49,24.59656739,27.49333333
2105_1027,47,25.00313764,27.45666667
2105_1028,46,24.42798194,28
2105_1029,41,22.89141696,25.75
2105_1030,46,28.57705085,31.27333333
2105_1031,55,34.09513016,36.1
2105_1032,56,30.11868856,31.61
2105_1033,51,31.15511254,33.68666667
2105_1034,42,29.08655887,31.96666667
2105_1035,53,36.85631294,39.07333333
2105_1036,43,25.25640327,27.09
2105_1037,50,30.66404821,32.23333333
2105_1038,48,30.3130638,33.37666667
2105_1039,43,25.3133637,27.43333333
2105_1040,52,28.36604871,30.8
2105_2001,44,18.89425813,20.83666667
2105_2002,36,18.94641157,20.2
2105_2003,44,23.20523872,25.5
2105_2004,51,26.65142951,29.54666667
2105_2005,52,23.12780478,24.03333333
2105_2006,38,21.4889057,22.7
2105_2007,35,16.27663228,14.79666667
2105_2008,37,19.3693096,20.11
2105_2009,51,25.04512599,27.20666667
2105_2010,43,23.72498083,25.33333333
2105_2011,44,24.9989202,27.56666667
2105_2012,51,29.99797873,33.21
2105_2013,45,28.48773428,29.3
2105_2014,48,32.45051384,33.26666667
2105_2015,55,36.61737795,38.16666667
2105_2016,41,25.89318078,27.83333333
2105_2017,54,23.83324553,26.6
2105_2018,44,23.35336448,26.1
2105_2019,58,22.29297873,24.85
2105_2020,44,27.22020438,29.92666667
2105_2021,45,23.93896839,26.6
2105_2022,43,25.66042238,26.86666667
2105_2023,40,32.14198765,34.06666667
2105_2024,50,37.90928789,40.79333333
2105_2025,42,26.79091847,29.33333333
2105_2026,42,20.88156416,23.79
2105_2027,61,32.00624828,35.29
2105_2028,40,20.90951309,20.86666667
2105_2029,38,29.2289296,32.48666667
2105_2030,46,23.92636186,26.6
2105_2031,46,27.30480372,30
2105_2032,48,27.87734602,30.83333333
2105_2033,52,25.87307053,27.4
2105_2034,43,27.85040011,29.8
2105_2035,57,35.44709698,37.09333333
2105_2036,44,26.99297436,29.42666667
2105_2037,48,33.31389204,35.28
2105_2038,41,23.15576347,23.83333333
2105_2039,42,25.23753521,24.96666667
2105_2040,40,23.07319559,23.53333333
2105_3001,49,32.478208,35.2
2105_3002,46,27.36204791,29.27666667
2105_3003,45,29.83284033,32.96666667
2105_3004,33,24.68674877,28.63333333
2105_3005,53,38.5059125,40.68333333
2105_3006,49,28.46098813,29.28
2105_3007,48,34.01759002,35.00333333
2105_3008,49,30.44006612,32.63333333
2105_3009,46,33.25249242,35.41333333
2105_3010,49,28.8155931,29.91333333
2105_3011,48,22.37745342,23.03333333
2105_3012,43,24.48521873,24.16666667
2105_3013,46,30.20300612,32.8
2105_3014,42,22.5136525,22.5
2105_3015,50,29.43946448,30.82
2105_3016,41,31.00538441,34.11333333
2105_3017,44,26.62655809,28.13333333
2105_3018,43,28.39248755,30.3
2105_3019,40,26.86317484,29.4
2105_3020,42,25.86204863,28.5
2105_3021,47,35.37799372,37.4
2105_3022,39,31.72035394,33.11
2105_3023,44,39.63395938,40.56666667
2105_3024,53,31.71166113,32.5
2105_3025,47,26.4086024,27.66666667
2105_3026,45,21.60814129,20.57333333
2105_3027,49,31.69344312,32.53333333
2105_3028,48,26.26574753,26.83333333
2105_3029,47,30.04425463,30.03333333
2105_3030,43,31.58217654,33.87666667
2105_3031,55,32.47287465,33.86666667
2105_3032,39,22.55114246,22.63333333
2105_3033,49,25.99552917,26.9
2105_3034,44,25.77595976,24.66666667
2105_3035,52,27.89997135,28.5
2105_3036,42,28.42000035,29.06666667
2105_3037,49,32.29296416,32.26666667
2105_3038,43,26.20853394,26.43333333
2105_3039,45,24.29202367,25.76666667
2105_3040,47,26.45433915,29.25333333
